Date,Bin,Species,Conductance,Leaf Temp,Time,Porometer ID
2022-06-27,A,POFR,19.7,33.2,8:47,USGS
2022-06-27,B,POFR,306.1,32.8,8:49,USGS
2022-06-27,C,POFR,369.7,32.7,8:51,USGS
2022-06-27,D,POFR,30.8,33.1,8:53,USGS
2022-06-27,E,POFR,540.4,33.3,8:54,USGS
2022-06-27,F,POFR,196.6,33.4,8:55,USGS
2022-06-27,G,POFR,27.5,33.1,8:56,USGS
2022-06-27,H,POFR,616.4,32.9,8:57,USGS
2022-06-27,I,POFR,323.5,33.3,8:59,USGS
2022-06-27,J,POFR,33.1,33.8,9:00,USGS
2022-06-27,K,POFR,437.1,33.9,9:01,USGS
2022-06-27,L,POFR,161.6,33,9:02,USGS
2022-06-27,M,POFR,29.8,32.1,9:03,USGS
2022-06-27,N,POFR,429.6,31.7,9:05,USGS
2022-06-27,O,SALA,480.5,31.7,9:06,USGS
2022-06-27,O,SALA,632.7,32.2,9:07,USGS
2022-06-27,N,SALA,483.7,30.7,9:09,USGS
2022-06-27,M,SALA,43.2,29.8,9:11,USGS
2022-06-27,L,SALA,517.1,29.6,9:12,USGS
2022-06-27,K,SALA,498.1,30,9:13,USGS
2022-06-27,J,SALA,41.4,30.7,9:15,USGS
2022-06-27,I,SALA,505.1,31.1,9:16,USGS
2022-06-27,H,SALA,484.1,30.8,9:17,USGS
2022-06-27,G,SALA,56.7,30.2,9:19,USGS
2022-06-27,F,SALA,607.1,30.2,9:20,USGS
2022-06-27,E,SALA,730.6,30.7,9:21,USGS
2022-06-27,D,SALA,46.3,31.6,9:23,USGS
2022-06-27,C,SALA,396.4,32.2,9:24,USGS
2022-06-27,B,SALA,434.4,32.1,9:25,USGS
2022-06-27,A,SALA,41,31.5,9:27,USGS
2022-06-27,A,SAEX,119.5,32.1,9:30,USGS
2022-06-27,B,SAEX,328.6,32.8,9:31,USGS
2022-06-27,C,SAEX,326.6,33.1,9:33,USGS
2022-06-27,D,SAEX,223.1,33,9:34,USGS
2022-06-27,E,SAEX,385.8,33,9:36,USGS
2022-06-27,F,SAEX,213.7,33.5,9:38,USGS
2022-06-27,G,SAEX,454.5,33.9,9:39,USGS
2022-06-27,H,SAEX,480.1,33.2,9:41,USGS
2022-06-27,I,SAEX,577.8,33.1,9:43,USGS
2022-06-27,J,SAEX,233.3,33.7,9:45,USGS
2022-06-27,K,SAEX,211.5,33.7,9:47,USGS
2022-06-27,L,SAEX,289.3,33,9:49,USGS
2022-06-27,M,SAEX,432.6,32.7,9:51,USGS
2022-06-27,N,SAEX,151.1,33.1,9:53,USGS
2022-06-27,O,SAEX,301,32.7,9:54,USGS
2022-06-27,O,BAEM,284.9,31.8,9:56,USGS
2022-06-27,O,BAEM,424,34.3,10:36,NAU
2022-06-27,N,BAEM,198.8,34.4,10:39,NAU
2022-06-27,M,BAEM,44.7,33.8,10:41,NAU
2022-06-27,L,BAEM,75.4,32.9,10:42,NAU
2022-06-27,K,BAEM,307.5,32.8,10:43,NAU
2022-06-27,J,BAEM,32.7,33.4,10:45,NAU
2022-06-27,I,BAEM,238.7,34,10:46,NAU
2022-06-27,H,BAEM,359.7,34.1,10:48,NAU
2022-06-27,G,BAEM,25.9,33.6,10:50,NAU
2022-06-27,F,BAEM,203.4,33.7,10:51,NAU
2022-06-27,E,BAEM,283.4,34.4,10:52,NAU
2022-06-27,D,BAEM,28.8,35.2,10:54,NAU
2022-06-27,C,BAEM,276.8,35,10:55,NAU
2022-06-27,B,BAEM,238.1,34.6,10:57,NAU
2022-06-27,A,BAEM,28,34.8,10:58,NAU
2022-06-27,A,PHAU,476.9,35,11:00,NAU
2022-06-27,B,PHAU,533,35.1,11:01,NAU
2022-06-27,C,PHAU,532,34.4,11:03,NAU
2022-06-27,D,PHAU,307.7,34.6,11:04,NAU
2022-06-27,E,PHAU,707.1,35.2,11:06,NAU
2022-06-27,F,PHAU,478.6,35.3,11:08,NAU
2022-06-27,G,PHAU,277.6,34,11:09,NAU
2022-06-27,H,PHAU,354,33.3,11:11,NAU
2022-06-27,I,PHAU,564.6,34,11:13,NAU
2022-06-27,J,PHAU,407.7,34.5,11:15,NAU
2022-06-27,K,PHAU,333.4,33.6,11:16,NAU
2022-06-27,L,PHAU,335.3,33.2,11:18,NAU
2022-06-27,M,PHAU,672.1,33.8,11:20,NAU
2022-06-27,N,PHAU,454.5,33.5,11:23,NAU
2022-06-27,O,PHAU,338.3,32.2,11:25,NAU
2022-06-28,A,CERE,142.5,,8:47,USGS
2022-06-28,B,CERE,224,,8:50,USGS
2022-06-28,C,CERE,293.6,,8:45,USGS
2022-06-28,D,CERE,168.1,,8:51,USGS
2022-06-28,E,CERE,245.9,,8:53,USGS
2022-06-28,F,CERE,178.1,,8:56,USGS
2022-06-28,G,CERE,427.4,,8:58,USGS
2022-06-28,H,CERE,335.9,,9:01,USGS
2022-06-28,I,CERE,213.8,,9:03,USGS
2022-06-28,J,CERE,327.2,,9:05,USGS
2022-06-28,K,CERE,335.7,,9:06,USGS
2022-06-28,L,CERE,306.2,,9:08,USGS
2022-06-28,M,CERE,161.1,,9:10,USGS
2022-06-28,N,CERE,253.1,,9:12,USGS
2022-06-28,O,CERE,173,,9:15,USGS
2022-06-28,A,SAGO,NA,,11:26,NAU
2022-06-28,B,SAGO,310.2,34.7,11:27,NAU
2022-06-28,C,SAGO,273.7,34.5,11:28,NAU
2022-06-28,D,SAGO,NA,,11:29,NAU
2022-06-28,E,SAGO,283.2,35,11:30,NAU
2022-06-28,F,SAGO,186.9,34.8,11:33,NAU
2022-06-28,G,SAGO,42.1,34,11:34,NAU
2022-06-28,H,SAGO,220,33.7,11:35,NAU
2022-06-28,I,SAGO,260.5,33.8,11:37,NAU
2022-06-28,J,SAGO,42.4,33.9,11:39,NAU
2022-06-28,K,SAGO,218.9,33.3,11:40,NAU
2022-06-28,L,SAGO,285.1,32.8,11:41,NAU
2022-06-28,N,SAGO,402.2,32.7,11:43,NAU
2022-06-28,O,EQFE,178.5,37.7,9:27,USGS
2022-06-28,N,EQFE,175.7,36.6,9:28,USGS
2022-06-28,M,EQFE,123.2,35.3,9:29,USGS
2022-06-28,L,EQFE,124,34.6,9:31,USGS
2022-06-28,K,EQFE,243.2,34.6,9:32,USGS
2022-06-28,J,EQFE,161.2,34.9,9:34,USGS
2022-06-28,I,EQFE,148.2,34.4,9:36,USGS
2022-06-28,H,EQFE,121.7,33.5,9:37,USGS
2022-06-28,G,EQFE,197.3,33.4,9:38,USGS
2022-06-28,F,EQFE,198.1,33.8,9:40,USGS
2022-06-28,E,EQFE,176.2,34.2,9:41,USGS
2022-06-28,D,EQFE,82.3,33.7,9:43,USGS
2022-06-28,C,EQFE,111.3,32.9,9:44,USGS
2022-06-28,B,EQFE,162.8,32.5,9:45,USGS
2022-06-28,A,EQFE,55.6,33,9:46,USGS
2022-06-28,A,PLSE,26.3,34.2,9:49,USGS
2022-06-28,B,PLSE,218.4,33.8,9:51,USGS
2022-06-28,C,PLSE,103.3,33.5,9:52,USGS
2022-06-28,D,PLSE,23.2,33.6,9:53,USGS
2022-06-28,E,PLSE,388,34.8,9:56,USGS
2022-06-28,F,PLSE,351.1,34.9,9:57,USGS
2022-06-28,G,PLSE,20.7,34.1,9:59,USGS
2022-06-28,H,PLSE,287.8,34.5,10:01,USGS
2022-06-28,I,PLSE,432.4,34.2,10:03,USGS
2022-06-28,J,PLSE,36.4,33.2,10:04,USGS
2022-06-28,K,PLSE,213,33,10:06,USGS
2022-06-28,L,PLSE,290,33.4,10:07,USGS
2022-06-28,M,PLSE,52.2,33.2,10:09,USGS
2022-06-28,N,PLSE,208.9,32.4,10:10,USGS
2022-06-28,O,PLSE,474.4,32.1,10:12,USGS
2022-06-28,A,ACGR,89.1,32.9,10:13,USGS
2022-06-28,B,ACGR,84.9,33.4,10:16,USGS
2022-06-28,C,ACGR,22.9,33.4,10:19,USGS
2022-06-28,D,ACGR,116,34,10:20,USGS
2022-06-28,E,ACGR,114.9,34.4,10:22,USGS
2022-06-28,F,ACGR,34.2,33.8,10:23,USGS
2022-06-28,G,ACGR,106.6,33.2,10:25,USGS
2022-06-28,H,ACGR,77.1,33.2,10:26,USGS
2022-06-28,I,ACGR,146,34.2,10:28,USGS
2022-06-28,J,ACGR,293.9,34.2,10:29,USGS
2022-06-28,K,ACGR,169.1,33.2,10:31,USGS
2022-06-28,L,ACGR,27.3,33,10:33,USGS
2022-06-28,M,ACGR,303.5,33.4,10:34,USGS
2022-06-28,N,ACGR,164.3,33.5,10:35,USGS
2022-06-28,O,ACGR,102.2,32.3,10:37,USGS
2022-06-28,A,PRGL,NA,,10:38,USGS
2022-06-28,B,PRGL,330.3,31.8,10:40,USGS
2022-06-28,C,PRGL,53.1,32.7,10:42,USGS
2022-06-28,D,PRGL,NA,,10:42,USGS
2022-06-28,E,PRGL,278.3,33.2,10:43,USGS
2022-06-28,F,PRGL,152.7,32.6,10:44,USGS
2022-06-28,G,PRGL,27.1,32.5,10:45,USGS
2022-06-28,H,PRGL,185.3,32.7,10:46,USGS
2022-06-28,I,PRGL,307.7,33.3,10:48,USGS
2022-06-28,J,PRGL,31.3,33,10:49,USGS
2022-06-28,K,PRGL,173.4,32.7,10:50,USGS
2022-06-28,L,PRGL,119.9,32.4,10:52,USGS
2022-06-28,M,PRGL,49.2,32.4,10:53,USGS
2022-06-28,N,PRGL,292.7,32,10:54,USGS
2022-06-28,O,PRGL,160.1,30.9,10:56,USGS
2022-06-28,O,TARA,143.4,30.5,10:58,USGS
2022-06-28,N,TARA,120.3,30.7,10:59,USGS
2022-06-28,M,TARA,242.7,30.1,11:01,USGS
2022-06-28,L,TARA,134.7,29.4,11:02,USGS
2022-06-28,K,TARA,83.8,30,11:04,USGS
2022-06-28,J,TARA,108.6,30.7,11:05,USGS
2022-06-28,I,TARA,129.2,30.5,11:08,USGS
2022-06-28,H,TARA,100.4,30.8,11:09,USGS
2022-06-28,G,TARA,77,31.7,11:11,USGS
2022-06-28,F,TARA,103.1,32,11:12,USGS
2022-06-28,E,TARA,108.4,32,11:14,USGS
2022-06-28,D,TARA,101.4,32.5,11:16,USGS
2022-06-28,C,TARA,92.1,33,11:17,USGS
2022-06-28,B,TARA,114.1,33.3,11:18,USGS
2022-06-28,A,TARA,115.7,33.1,11:20,USGS
2022-06-29,A,PHAU,290.6,32.9,8:25,NAU
2022-06-29,B,PHAU,551.3,34.1,8:29,NAU
2022-06-29,C,PHAU,286.4,33.8,8:30,NAU
2022-06-29,D,PHAU,414.2,34.3,8:32,NAU
2022-06-29,E,PHAU,391,35,8:33,NAU
2022-06-29,F,PHAU,410.3,35.5,8:35,NAU
2022-06-29,G,PHAU,297.6,34.9,8:37,NAU
2022-06-29,H,PHAU,534.5,34.8,8:38,NAU
2022-06-29,I,PHAU,545.9,34.4,8:40,NAU
2022-06-29,J,PHAU,452,34.3,8:42,NAU
2022-06-29,K,PHAU,371.8,33.3,8:44,NAU
2022-06-29,L,PHAU,627.7,33.2,8:46,NAU
2022-06-29,M,PHAU,207.7,33.1,8:49,NAU
2022-06-29,N,PHAU,395.7,31.9,8:51,NAU
2022-06-29,O,PHAU,397.2,31.7,8:53,NAU
2022-06-29,O,BAEM,364.3,30.8,8:56,NAU
2022-06-29,N,BAEM,142.1,30.1,8:58,NAU
2022-06-29,M,BAEM,34.6,30.7,9:00,NAU
2022-06-29,L,BAEM,64.7,31,9:01,NAU
2022-06-29,K,BAEM,194.3,30.8,9:03,NAU
2022-06-29,J,BAEM,44,31.3,9:05,NAU
2022-06-29,I,BAEM,89.1,31.8,9:06,NAU
2022-06-29,H,BAEM,365.5,31.7,9:08,NAU
2022-06-29,G,BAEM,40.5,31.8,9:10,NAU
2022-06-29,F,BAEM,68.9,32,9:11,NAU
2022-06-29,E,BAEM,276.5,32.6,9:13,NAU
2022-06-29,D,BAEM,NA,,9:14,NAU
2022-06-29,C,BAEM,128.4,32.5,9:15,NAU
2022-06-29,B,BAEM,110.8,32.8,9:17,NAU
2022-06-29,A,BAEM,NA,,9:18,NAU
2022-06-29,A,SAEX,NA,,9:19,NAU
2022-06-29,B,SAEX,279.1,33.21,9:21,NAU
2022-06-29,C,SAEX,205.4,32.7,9:21,NAU
2022-06-29,D,SAEX,NA,,9:24,NAU
2022-06-29,E,SAEX,309.5,33.5,9:27,NAU
2022-06-29,F,SAEX,221.6,33.4,9:33,NAU
2022-06-29,G,SAEX,73.9,32.4,9:35,NAU
